CustomerID,Season,Brand,Dining,Spa,Rooms
3,1,0,226.57458742209462,346.37324950976307,396.6536593420659
6,1,1,212.49022292118545,376.67593072748014,476.0372424835817
6,1,1,136.76042817208383,243.2045195120812,427.3924029924221
6,1,1,150.50412111687393,322.4647570765608,410.98090374420207
6,0,1,212.49022292118545,376.67593072748014,476.0372424835817
6,0,1,136.76042817208383,243.2045195120812,427.3924029924221
6,0,1,150.50412111687393,322.4647570765608,410.98090374420207
6,0,1,212.49022292118545,376.67593072748014,476.0372424835817
6,0,1,136.76042817208383,243.2045195120812,427.3924029924221
6,0,1,150.50412111687393,322.4647570765608,410.98090374420207
8,1,1,276.6092224004117,400.89935595193464,493.2369480550044
8,1,1,210.16313529961306,278.01745672968565,383.79645540756184
8,1,1,289.83660590199565,394.7716867666121,517.2429211368972
8,0,0,276.6092224004117,400.89935595193464,493.2369480550044
8,0,0,210.16313529961306,278.01745672968565,383.79645540756184
8,0,0,289.83660590199565,394.7716867666121,517.2429211368972
8,1,1,276.6092224004117,400.89935595193464,493.2369480550044
8,1,1,210.16313529961306,278.01745672968565,383.79645540756184
8,1,1,289.83660590199565,394.7716867666121,517.2429211368972
9,0,0,304.5930711658002,246.79207194513867,576.8553444962039
9,0,0,313.9663257304479,368.5255583422377,572.5740773213757
9,0,1,304.5930711658002,246.79207194513867,576.8553444962039
9,0,1,313.9663257304479,368.5255583422377,572.5740773213757
13,1,0,111.02307047640379,195.05871579239678,316.64922261709575
13,1,0,131.5560378598475,238.73183677509897,334.0690663261882
13,0,1,111.02307047640379,195.05871579239678,316.64922261709575
13,0,1,131.5560378598475,238.73183677509897,334.0690663261882
15,0,0,222.07398268292363,281.99927765747606,363.154307787417
15,0,0,242.45627946533452,291.64420566095487,417.7854014937599
15,0,0,190.70238756917797,291.1211370662611,387.7498382787207
15,0,0,185.11513589282657,271.9017513793812,440.9809114643755
15,0,0,191.53853370944069,330.9930346496212,430.1375662323174
15,1,0,222.07398268292363,281.99927765747606,363.154307787417
15,1,0,242.45627946533452,291.64420566095487,417.7854014937599
15,1,0,190.70238756917797,291.1211370662611,387.7498382787207
15,1,0,185.11513589282657,271.9017513793812,440.9809114643755
15,1,0,191.53853370944069,330.9930346496212,430.1375662323174
15,0,0,222.07398268292363,281.99927765747606,363.154307787417
15,0,0,242.45627946533452,291.64420566095487,417.7854014937599
15,0,0,190.70238756917797,291.1211370662611,387.7498382787207
15,0,0,185.11513589282657,271.9017513793812,440.9809114643755
15,0,0,191.53853370944069,330.9930346496212,430.1375662323174
15,1,0,222.07398268292363,281.99927765747606,363.154307787417
15,1,0,242.45627946533452,291.64420566095487,417.7854014937599
15,1,0,190.70238756917797,291.1211370662611,387.7498382787207
15,1,0,185.11513589282657,271.9017513793812,440.9809114643755
15,1,0,191.53853370944069,330.9930346496212,430.1375662323174
15,0,1,222.07398268292363,281.99927765747606,363.154307787417
15,0,1,242.45627946533452,291.64420566095487,417.7854014937599
15,0,1,190.70238756917797,291.1211370662611,387.7498382787207
15,0,1,185.11513589282657,271.9017513793812,440.9809114643755
15,0,1,191.53853370944069,330.9930346496212,430.1375662323174
16,0,0,373.66508461095714,389.14634740139843,537.9848984837539
16,0,0,433.7342313719518,332.1498450501738,605.5770456192245
16,1,0,373.66508461095714,389.14634740139843,537.9848984837539
16,1,0,433.7342313719518,332.1498450501738,605.5770456192245
19,1,0,275.66861389304904,291.1018002356931,468.4833007765555
19,1,0,243.8660096329559,238.7505974948733,465.0289130520753
19,1,0,316.54501715220096,377.66206438390185,551.0409702207776
19,1,0,320.1325427921878,338.4013600445038,500.15711306829445
